BldgID,geometry,lat,lon,type,vintage,area,EUI_base,eEUI_base,EUI_con,tEUI_con,EUI_DE,tEUI_DE,EUI_DEP,tEUI_DEP,CO2e_base,tCO2e_base,CO2e_con,tCO2e_con,CO2e_DE,tCO2e_DE,cost_base,tcost_base,cost_DE,tcost_DEP,health_base,thealth_con,health_DE,thealth_DE,cost_DEP,tcost_DEP,health_base,thealth_base,health_con,thealth_con,health_DE,thealth_DE,health_DEP,thealth_DEP
573-1,"POLYGON ((-71.08747013972047 42.36702491136715, -71.08761984246874 42.36704348274224, -71.08775100729825 42.36705975116794, -71.08775935465735 42.36702274415712, -71.08791671070541 42.36704226356888, -71.08793774895047 42.36695932072686, -71.08794425460069 42.36693217335539, -71.08795300532772 42.36689565843169, -71.08793797985204 42.36689126431818, -71.08794565478819 42.36687434029908, -71.08795262101954 42.36686016591961, -71.08795966646434 42.36684911312035, -71.0879629857963 42.36683865376664, -71.08796325681901 42.36683599978949, -71.08796253902668 42.36683287682158, -71.08796129193767 42.36683068195454, -71.08795940208584 42.36682875577153, -71.08795617044136 42.3668266861375, -71.08795926296173 42.36680855282051, -71.08796513052079 42.36680928146563, -71.08800433733342 42.36663546924337, -71.08800519064238 42.36663232489445, -71.08800595247777 42.36662849960044, -71.08800642190165 42.36662464805096, -71.08800659518987 42.36662078283673, -71.08800647226039 42.36661691656154, -71.08800605303119 42.36661306182901, -71.08800534106815 42.36660923035571, -71.08800433628336 42.36660543564563, -71.08800304345664 42.36660168941962, -71.08800164909967 42.36659843348663, -71.08799960794072 42.36659438928576, -71.08799747844735 42.36659085973292, -71.08799508124544 42.36658742555191, -71.08799242476262 42.36658409757629, -71.08798951864071 42.36658088664409, -71.08798637131311 42.36657780268862, -71.08798299242166 42.36657485654788, -71.08797939404771 42.36657205726801, -71.08797558827271 42.36656941389511, -71.0879710898344 42.36656668611466, -71.08796739922073 42.36656462834097, -71.08796304376618 42.36656250156422, -71.08795853291338 42.36656056149041, -71.08795388118934 42.36655881447366, -71.0879491019187 42.36655726506306, -71.08794421326466 42.36655592052598, -71.0879392285695 42.36655478271074, -71.08793416479404 42.36655385707985, -71.08792903892258 42.36655314549478, -71.08792386671374 42.36655265161301, -71.0877542246518 42.36653182776841, -71.08761806536474 42.36651515701134, -71.08761699649423 42.36651989229324, -71.08755420527625 42.36651210383568, -71.08754714438285 42.36651137089025, -71.08754002062095 42.36651041174678, -71.08753295532048 42.36650923764373, -71.08752596182391 42.36650785042956, -71.08751904982567 42.36650625283997, -71.08751223145427 42.36650444671894, -71.08750551883203 42.36650243481089, -71.08749892285574 42.36650022165637, -71.08749130585338 42.36649745386366, -71.08748491487781 42.36649563937062, -71.08747957642856 42.36649438953136, -71.08747415648131 42.36649335006685, -71.08746867078872 42.36649252553502, -71.08746241053662 42.36649188818554, -71.08745972212037 42.36649197217307, -71.08745688708717 42.36649257149952, -71.08745350374539 42.36649403493596, -71.08745140439144 42.36649556869865, -71.08744988313546 42.36649744124235, -71.08724038217811 42.36647216489165, -71.08723227359198 42.36647124450845, -71.08722381339935 42.36647006718118, -71.08721541167527 42.36646867399415, -71.08720708053639 42.36646706859187, -71.08719882726665 42.36646525100057, -71.08719066398869 42.36646322396461, -71.08718260039699 42.36646099021973, -71.0871781088069 42.36645945171262, -71.08717129499934 42.36645732058386, -71.087164373032 42.36645539253151, -71.08715735258748 42.36645367209169, -71.08715024336597 42.36645216109987, -71.08714262569239 42.36645080133146, -71.08713935336763 42.36645069325493, -71.08713656462638 42.36645108207231, -71.08713400316697 42.36645198937089, -71.08713113228325 42.36645380304868, -71.08712915123336 42.3664561826003, -71.0871057506145 42.36645397392189, -71.08697253353387 42.36643744710369, -71.08692893894901 42.36643204367566, -71.0869178080399 42.36643065867126, -71.0869070291776 42.36642909127148, -71.08689631241528 42.36642730982526, -71.08688566260918 42.36642531435001, -71.08687509066768 42.36642310758587, -71.08686460266095 42.3664206895546, -71.08685420585545 42.36641806298326, -71.08685180986501 42.36641705595795, -71.08684730476475 42.36641535713814, -71.08684267332289 42.36641385682793, -71.08683793128613 42.36641256048555, -71.08683309562696 42.36641147177311, -71.0868281821038 42.36641059434843, -71.08682238525395 42.36640982808697, -71.08681957091673 42.36640967483152, -71.08681663058964 42.36641003788856, -71.08681300143925 42.36641121593234, -71.08681064707648 42.36641257141063, -71.08680881222369 42.36641431317801, -71.08680747602264 42.36641628901087, -71.0866192219126 42.36639293524038, -71.0866157487126 42.36639254193612, -71.08660435955841 42.36639110645735, -71.08659302280498 42.36638945509681, -71.08658174572466 42.3663875896811, -71.08657053802959 42.36638551024523, -71.0865594057781 42.36638321861153, -71.08654835624844 42.36638071570651, -71.08653739792109 42.36637800426151, -71.08653487367842 42.36637711740712, -71.08652626795696 42.36637424876498, -71.0865175455761 42.36637158316785, -71.0865081479343 42.36636895745607, -71.08650425210733 42.366368215118, -71.08649970222245 42.36636816905175, -71.0864963505977 42.36636867826921, -71.08649322380931 42.36636970776087, -71.0864903834579 42.3663711200042, -71.08648801626427 42.36637295168204, -71.08648610861394 42.36637505689879, -71.08641080266403 42.36636571754208, -71.08640647173578 42.36638491500919, -71.086404636336 42.36639305151186, -71.08637015669619 42.36638877359638, -71.08633283246327 42.36638414333078, -71.08633923383037 42.36635577397883, -71.08624830271546 42.36634449131713, -71.08616788266019 42.36633451400657, -71.08615399088586 42.36639606171152, -71.08614450973273 42.36643811604902, -71.08620342622768 42.36644542498855, -71.08620223595446 42.36645070089392, -71.086198537589 42.36646709623255, -71.0861906220336 42.36650217897584, -71.08618958302297 42.36650678741173, -71.08618592590874 42.36652300013977, -71.08618540329451 42.36652531560009, -71.0861840942364 42.36653111864644, -71.08618314527189 42.36653532407724, -71.08617951190362 42.36655143245711, -71.08617839415322 42.36655638541971, -71.08617313164866 42.36657971544759, -71.0861717825739 42.3665856966067, -71.08616425580081 42.36661906029629, -71.08615833066601 42.36664532197668, -71.08615266681693 42.36667042862729, -71.08612919184291 42.36666751635833, -71.08612865168732 42.36666991458166, -71.0860918804636 42.36666535194959, -71.0860912878278 42.36666797775668, -71.08607691653131 42.36672949941489, -71.08605865776489 42.36676265162033, -71.08605432544141 42.36678185627022, -71.08606508522453 42.36678319140679, -71.08605167190424 42.36684264944753, -71.0861742947809 42.36685786170506, -71.08617291319953 42.36686398589259, -71.08636579269807 42.36688791699913, -71.08642586325648 42.36689536861682, -71.08650696096046 42.36690542830472, -71.08653398665872 42.36690878089637, -71.08666048550235 42.36692447291622, -71.0868519946346 42.3669482299275, -71.08690040780715 42.36695423587572, -71.08699172810528 42.36696556442866, -71.08702329918961 42.36696948060094, -71.08747013972047 42.36702491136715))",42.36669996,-71.0870368,Laboratory,new2004,41545.01386,270,11217153.74,180,7478102.495,175,7270377.426,105,4362226.455,2487.5721,103346217.4,1658.3814,68897478.25,1612.31525,66983659.41,967.3891499,40190195.64,0,0,132.26,5494743.533,371.31,15426079.1,423.87,17609685.02,0,0,15,623175.2079,28,1163260.388,50,2077250.693
590-2,"POLYGON ((-71.08061329303173 42.36613483803892, -71.08113801829226 42.36620248552237, -71.0811759413685 42.36604069691045, -71.08112667460587 42.36603434602986, -71.08112761156018 42.36603035396355, -71.08111845592111 42.36602917365384, -71.08113135137405 42.36597416169855, -71.0811904651279 42.36598178182714, -71.08118955065009 42.36598568034586, -71.08169474372765 42.36605080538863, -71.08175079815783 42.36581168386058, -71.08176445758626 42.36575340656604, -71.08073497749704 42.36562069227882, -71.08072575243851 42.36566003185406, -71.08071271044108 42.36571567973839, -71.08065603509364 42.36570837255014, -71.08055914700169 42.36569588248561, -71.080581101932 42.36560222904372, -71.07993077368278 42.36551838689919, -71.07986038300298 42.36581863879873, -71.07988501623254 42.36582181496318, -71.07983499315482 42.36603518779231, -71.08037593440208 42.36610493084571, -71.08038922018807 42.3660482764701, -71.08047287265921 42.36605906096942, -71.08049664818293 42.36595764110339, -71.08065578955106 42.36597815739604, -71.08064783991176 42.36601206657303, -71.08064224561207 42.36601134575247, -71.08061329303173 42.36613483803892))",42.36588973,-71.0808008,Laboratory,new2004,36086.591,270,9743379.57,180,6495586.38,175,6315153.425,105,3789092.055,2160.74057,77973761.21,1440.493714,51982507.5,1400.479999,50538548.93,840.2879996,30323129.36,0,0,132.26,4772812.526,371.31,13399312.1,423.87,15296023.33,0,0,15,541298.865,28,1010424.548,50,1804329.55
611-1,"POLYGON ((-71.07936705659903 42.36512155121286, -71.07936091676001 42.3651479306145, -71.0798037185684 42.36520460358025, -71.07983194630387 42.36508330822402, -71.07981291958063 42.3650808727592, -71.07981595877578 42.36506781617697, -71.0798361827033 42.36507040456228, -71.07989769017946 42.36480610921199, -71.07982975538572 42.36479741455508, -71.07982829951776 42.36480367074233, -71.07978311518907 42.36479788787128, -71.07978460228385 42.36479150035653, -71.07965228313265 42.36477456588577, -71.07942375753497 42.36474531467978, -71.07929472692504 42.36472880145289, -71.07929071159522 42.36474605429768, -71.07914792234416 42.36472777913085, -71.07915195894823 42.36471043633985, -71.07906340272848 42.36469910175261, -71.07906060704535 42.36471111847432, -71.07903221030213 42.36470748361383, -71.07903494345867 42.3646957421522, -71.07878503992411 42.36466375467797, -71.07868562294476 42.36465103139261, -71.07866641566432 42.36464857256868, -71.078664299796 42.36465766583394, -71.07865037254746 42.36465588265943, -71.07865170147872 42.36464810543423, -71.07844476114906 42.3646364185545, -71.07841590851086 42.3648452760567, -71.07843237201853 42.36484502940203, -71.07841222562995 42.36487800244691, -71.07841458013517 42.36494640688939, -71.07841987125417 42.36494596893674, -71.07841818101781 42.36497862520527, -71.07841788764115 42.3649811134274, -71.07841776898255 42.36498434502794, -71.07841794654581 42.36498757591356, -71.07841841801104 42.36499078987071, -71.0784191834742 42.36499397249509, -71.07842023817551 42.36499710936458, -71.07842157735513 42.36500018605718, -71.07842319503922 42.36500318814635, -71.07842508403988 42.36500610120109, -71.07842723472342 42.36500891348226, -71.07842963746801 42.36501161145044, -71.07843228143798 42.36501418156147, -71.07843515456545 42.36501661296762, -71.0784382447888 42.36501889392085, -71.07844153517831 42.36502101445614, -71.07844501244625 42.36502296462139, -71.07844865966297 42.36502473445147, -71.07845321170169 42.36502662823628, -71.07845791149565 42.36502839292091, -71.07846198218037 42.36502964933757, -71.07846615864101 42.36503069997574, -71.07847042026994 42.36503154025836, -71.07847474766159 42.36503216741352, -71.07847912263023 42.36503257777336, -71.07848352577021 42.36503276856589, -71.07848793521792 42.36503274151163, -71.07849233278162 42.36503249384293, -71.07849669780579 42.36503202818508, -71.07850101084871 42.36503134716759, -71.07850525247476 42.36503045251993, -71.07850829459677 42.365029567881, -71.07851462946765 42.36502789945344, -71.07852105763655 42.36502644023432, -71.07852756573784 42.36502519197523, -71.07853414161382 42.36502415733249, -71.07854077189285 42.36502333895791, -71.07854744564921 42.36502273681148, -71.07855414829729 42.36502235354061, -71.07856086647736 42.36502218999662, -71.07857733255554 42.36502429758465, -71.07857247838758 42.3650451565867, -71.07906014908922 42.36510757499899, -71.07907103682031 42.36506079444846, -71.07921289887537 42.36507895107766, -71.07920442695955 42.36511535385272, -71.07934653176724 42.36513354181424, -71.07934983478386 42.36511934734422, -71.07936705659903 42.36512155121286))",42.36491199,-71.07914322,Office,new2004,50260.523,124,6232304.852,100,5026052.3,90,4523447.07,69,3467976.087,1382.107086,69465424.98,1114.602488,56020503.98,1003.142239,50418453.58,769.0757169,38654147.76,0,0,142.59,7166647.975,361.59,18173702.51,414.15,20815395.6,0,0,0,0,0,0,64,3216673.472
620-11,"POLYGON ((-71.08186324952516 42.36489981001501, -71.08195353217353 42.36491142690718, -71.08195058148735 42.36492401751708, -71.08194961812613 42.3649281580424, -71.08266638473565 42.36502037838873, -71.08270160685639 42.36486982044596, -71.08274224264399 42.36487504909655, -71.08275155811907 42.36483522983199, -71.08276982547528 42.36483758012979, -71.08280642135175 42.36468115365281, -71.0828558704613 42.36468751618413, -71.08289361656746 42.36452617017024, -71.08284335367392 42.36451970387066, -71.08284984455251 42.36449196072105, -71.08226018027689 42.36441609417838, -71.08221901111985 42.36441079679697, -71.08222529614196 42.36438393341522, -71.0821732794022 42.36437762160315, -71.08215612669586 42.36437507989658, -71.08206382658842 42.3643622575448, -71.0820468806639 42.36436002357159, -71.08195682779703 42.3643493906985, -71.08195249029268 42.36436792987632, -71.08189385626707 42.36461854157837, -71.08191975550845 42.36462187406007, -71.08187282826907 42.3648224515568, -71.08188109829194 42.36482351605189, -71.08186324952516 42.36489981001501))",42.36468433,-71.08235541,Laboratory,post1980,28918.75294,343,9919132.258,183,5292131.788,179,5176456.776,107,3094306.565,2199.716365,63613054.1,1173.609606,33939326.24,1147.956937,33197483.05,686.2088953,19844305.51,0,0,132.26,3824794.264,371.31,10737822.15,423.87,12257791.81,0,0,91,2631606.518,92,2660525.27,95,2747281.529
620-82,"POLYGON ((-71.08274383732608 42.36355152657863, -71.08275763095915 42.36352183018685, -71.08313277806013 42.36361310950706, -71.08321789242333 42.36341799865225, -71.08321849747855 42.36341681786577, -71.08234057340773 42.36320315742201, -71.08228012513173 42.36333990779924, -71.08258298080693 42.36341553861669, -71.0825447379727 42.36350313293367, -71.08274323489084 42.36355138844957, -71.08274383732608 42.36355152657863))",42.36337772,-71.08274471,Housing,new2004,34052.0153,136,4631074.081,107,3643565.637,95,3234941.454,86,2928473.316,1027.010144,34971765.14,808.0153335,27514550.5,717.3967914,24428806.52,649.4328849,22114498.53,0,0,146.39,4984874.52,362.57,12346239.19,415.14,14136353.63,0,0,0,0,0,0,89,3030629.362
620-83,"POLYGON ((-71.08328888905066 42.36384666355525, -71.0832945756284 42.36383353634622, -71.08331393618123 42.36383814844308, -71.08337516568886 42.36369679359829, -71.0833590087001 42.36369294395676, -71.0833769841576 42.36365275267399, -71.08341738192118 42.36366359802765, -71.0835199623146 42.36348929646168, -71.08323391814638 42.36342057032909, -71.08321849747855 42.36341681786577, -71.08321789242333 42.36341799865225, -71.08313277806013 42.36361310950706, -71.08275763095915 42.36352183018685, -71.08274383732608 42.36355152657863, -71.08274323489084 42.36355138844957, -71.08268441908794 42.36368716633533, -71.08306384734627 42.36377755751759, -71.08305776501216 42.36379159887419, -71.08328888905066 42.36384666355525))",42.36363293,-71.08307167,Housing,new2004,34052.0153,136,4631074.081,107,3643565.637,95,3234941.454,86,2928473.316,1027.010144,34971765.14,808.0153335,27514550.5,717.3967914,24428806.52,649.4328849,22114498.53,0,0,146.39,4984874.52,362.57,12346239.19,415.14,14136353.63,0,0,0,0,0,0,89,3030629.362
658-3,"POLYGON ((-71.09416389701775 42.36217749773563, -71.09395285003546 42.36216209164771, -71.09395832252939 42.3621208615634, -71.09388765372827 42.36211632488058, -71.09388146673258 42.36212343241637, -71.09387605480062 42.36213007363847, -71.09387089951369 42.36213682560172, -71.09386600333426 42.36214368291312, -71.09386137115285 42.36215064018832, -71.09385700543208 42.36215769203415, -71.0938529110623 42.36216483306635, -71.09384909051772 42.36217205609127, -71.09384554624941 42.36217935751646, -71.09384228316513 42.36218672925673, -71.09383930129381 42.3621941668107, -71.09383618097107 42.36220161377884, -71.09383419592535 42.36220921330361, -71.09378920561133 42.36254818305765, -71.093805483209 42.36254937130821, -71.09382607803633 42.36255087549924, -71.09380753357513 42.36269059324021, -71.09380180395013 42.36269017417729, -71.0937766564808 42.36287963561277, -71.09405411248619 42.36289988950006, -71.09405369281676 42.36290304893014, -71.09415957124685 42.36291077793471, -71.09416024220906 42.36290572518496, -71.09459656719683 42.36293757486759, -71.09459949633585 42.36293778865728, -71.09464443665659 42.36259916596521, -71.0946058217324 42.36259634790608, -71.09460972878398 42.36256690335136, -71.09431110528881 42.36254510506539, -71.09435801378463 42.36219166794933, -71.09420775104302 42.36218069904591, -71.09416389701775 42.36217749773563))",42.36237716,-71.09407265,Laboratory,new2004,27592.0981,270,7449866.487,180,4966577.658,175,4828617.168,105,2897170.301,1652.119641,45585447.21,1101.413094,30390298.14,1070.818286,29546123.19,642.4909717,17727673.92,0,0,132.26,3649330.895,371.31,10245221.95,423.87,11695462.62,0,0,15,413881.4715,28,772578.7468,50,1379604.905
643-8,"POLYGON ((-71.08602530767018 42.36321584063528, -71.08610198911192 42.36322124915384, -71.08610178980186 42.36322369452014, -71.08610069985143 42.36323702296831, -71.08621011821927 42.36324506732523, -71.086214542996 42.36323543935523, -71.08623126121219 42.36310004841301, -71.08624879836552 42.36310113512991, -71.08625264839387 42.36306690290957, -71.08627299096307 42.36306818337363, -71.08627758710055 42.36302734031752, -71.08626094301319 42.36302631983775, -71.08626180803938 42.36301842021786, -71.08627893388126 42.36301946943907, -71.08628545493887 42.36296142879477, -71.08626744100569 42.36296030075555, -71.08625224103177 42.36295936019313, -71.08625416825871 42.36294199786149, -71.08624736307242 42.36294158085503, -71.08625230506101 42.3628987169951, -71.08624962833871 42.36289852100627, -71.08620367537027 42.36289493098979, -71.08610673550287 42.36288806679369, -71.08611147996632 42.36285239913397, -71.0860577040571 42.36284846940745, -71.08605292257408 42.36288422425979, -71.0859041375878 42.36287334345891, -71.08590875216701 42.36283843338234, -71.08585853287879 42.36283473693826, -71.08585422616747 42.36286693465212, -71.08575987981074 42.36286000837925, -71.08576419633467 42.362827617142, -71.08576451042016 42.36282525771684, -71.08566370642254 42.36281787416769, -71.08561563890326 42.36281538365312, -71.08560172790047 42.36291196059388, -71.0855939489693 42.36298105581343, -71.08559167005617 42.36300129959094, -71.08563183834886 42.36300380396995, -71.08562734607115 42.36305411751012, -71.0856074123959 42.36307788893062, -71.08598338259264 42.36323633874071, -71.08600611090758 42.36321495227622, -71.08602530767018 42.36321584063528))",42.36304073,-71.08595231,Housing,post1980,31053.75678,196,6086536.329,119,3695397.057,97,3012214.408,87,2701676.84,1349.780729,41915762.46,819.5097283,25448855.78,668.0037281,20744025.3,599.1373644,18605465.99,0,0,146.39,4545959.455,362.57,11259160.6,415.14,12891656.59,0,0,0,0,53,1645849.109,95,2950106.894
591-16,"POLYGON ((-71.08746198725386 42.36476646795951, -71.08738249155468 42.36473268488677, -71.08738014329218 42.36473572213682, -71.08722403226899 42.36466937794652, -71.08720413902198 42.36466092487036, -71.08712314361719 42.3646265033317, -71.08710270803785 42.36461781871753, -71.08697433084119 42.36456326128135, -71.08697687869814 42.36455996367258, -71.08697143688185 42.36455765199774, -71.08689311321928 42.36465900692973, -71.08689681655581 42.36466058133032, -71.08688787884611 42.36467214583914, -71.08679401667099 42.36479361044245, -71.08690805534856 42.36484207384643, -71.086821689674 42.36495383688015, -71.08670653465951 42.36490489763003, -71.08670007253576 42.36491325699114, -71.08667839775872 42.36494130770249, -71.08667495953624 42.36493984678369, -71.08662344101823 42.3650065170237, -71.08662677390966 42.36500793435161, -71.08660008532469 42.3650424716089, -71.08661805366556 42.36505011031214, -71.08660474365394 42.3650673335991, -71.0866003223836 42.36506545501243, -71.08654834945617 42.36513271147236, -71.08653624422487 42.36512756782633, -71.08650812793526 42.36516395182178, -71.08652521373345 42.36517121644788, -71.08654846900207 42.36518109967908, -71.08701897424989 42.3653810496193, -71.08704519136911 42.36534712277087, -71.087049858429 42.36534910665605, -71.08709970674957 42.3652845990286, -71.08714851416323 42.36530534130652, -71.08726151048606 42.36515911695076, -71.08727957688659 42.36516718713989, -71.08728779820053 42.36515675889553, -71.08734000394544 42.36509054277246, -71.08734437166001 42.3650850027659, -71.08733908357267 42.36508275107942, -71.08734729186034 42.36507208330741, -71.0873502337316 42.36507333445872, -71.08739001745496 42.36502185107152, -71.08738593515582 42.36502011507633, -71.08748376215071 42.36489351817303, -71.08752893271637 42.36483506332038, -71.08753552832268 42.36483786526166, -71.08755730550905 42.36480968421513, -71.08756506777084 42.36479963872729, -71.08751374246583 42.36477782705384, -71.08750755591254 42.36478583363526, -71.08749875452139 42.36478209378402, -71.08746198725386 42.36476646795951))",42.36498018,-71.0870303,Laboratory,post1980,24432.00255,343,8380176.875,183,4471056.467,179,4373328.456,107,2614224.273,1858.429925,45405164.67,991.5238374,24224912.92,969.8511852,23695406.63,579.7434459,14164293.35,0,0,132.26,3231376.657,371.31,9071846.867,423.87,10355992.92,0,0,91,2223312.232,92,2247744.235,95,2321040.242
614-8,"POLYGON ((-71.08445110179902 42.36523877793734, -71.08446880462485 42.36516483461461, -71.08447551210421 42.36516537561206, -71.08449072860249 42.36510067196206, -71.08449775569429 42.36510116189613, -71.0845149457944 42.36503004001563, -71.08450726168395 42.36502903364462, -71.08451335722766 42.36500352439398, -71.08452116611262 42.36500438626894, -71.08453705867826 42.36493285096586, -71.08453021231017 42.36493183411807, -71.08455154943169 42.36483999897572, -71.08445600530973 42.36482795638436, -71.08445954147565 42.36480858595638, -71.08436394269793 42.36479692661352, -71.08436089071095 42.36481096638167, -71.08425780282877 42.36479745230208, -71.08422534752538 42.36493360439828, -71.08429307667126 42.36494248387296, -71.08427475327933 42.36502308706184, -71.08424904604807 42.36501949652284, -71.08421939692528 42.36501535515687, -71.0841992059262 42.36501253538757, -71.08333784617666 42.36490202020095, -71.0833313592767 42.36492734251446, -71.08329952112121 42.36491753196881, -71.08327929803202 42.36491130162977, -71.08328362911769 42.36490363426228, -71.08330248630971 42.3648702649779, -71.08336105258302 42.36476662259686, -71.08337641146306 42.36473944181252, -71.08348736485499 42.36477411493081, -71.08349400590089 42.36476242893117, -71.08352310872301 42.36477152369301, -71.08352079379338 42.364777951471, -71.08357103623118 42.36479365165501, -71.08363888726086 42.36467423998939, -71.08358887023702 42.36465861087286, -71.08358593476765 42.36466377780272, -71.08355591608674 42.36465439704988, -71.08356220461475 42.36464333006828, -71.08332573910047 42.36456842045962, -71.08329068851758 42.36462943025034, -71.08322715349949 42.36460960257091, -71.08323164430847 42.36460164409029, -71.08319089244374 42.36458899591567, -71.08316813380203 42.36462931837544, -71.08317910532361 42.36463272341387, -71.08315968550316 42.36466691350422, -71.08316590183888 42.36466865468312, -71.08313469907178 42.36472345467798, -71.08312878822808 42.36472104208927, -71.0831260906337 42.36472566069387, -71.08311526967266 42.36472224989417, -71.08309901551699 42.36475060407574, -71.08310957358435 42.36475393289814, -71.08308994760606 42.36478752533773, -71.08309733542092 42.3647898253441, -71.08306529602453 42.36484463489057, -71.08305913560511 42.36484251218681, -71.08305672398927 42.36484665647413, -71.08304662532819 42.3648434319453, -71.08302996581649 42.36487212675666, -71.08304003661328 42.36487534308331, -71.08302023890417 42.36490937692931, -71.0830272917708 42.36491110854421, -71.08301363443928 42.36493520296049, -71.08299693550686 42.36492917440869, -71.08292475354455 42.36505452359526, -71.08301604224224 42.36506662585401, -71.08301992113014 42.36505573922729, -71.08305246198969 42.36506005973922, -71.08305117170225 42.36506537036316, -71.08321359991858 42.36508558714253, -71.08321914513797 42.36506187384018, -71.08325471902438 42.36506686699704, -71.08325395474195 42.36507286554858, -71.08422654155382 42.36519669270303, -71.08422783918301 42.36519135868548, -71.08425964878072 42.36519558258183, -71.0842541844391 42.36521886948809, -71.08439788067848 42.36523732794122, -71.08439875656209 42.36523261989869, -71.08445110179902 42.36523877793734))",42.36490283,-71.08438482,Housing,new2004,29977.28972,136,4076911.402,107,3207570,95,2847842.523,86,2578046.916,904.116257,27102954.98,711.326761,21323648.4,631.5517972,18932211.2,571.7205743,17138633.29,0,0,146.39,4388375.442,362.57,10868865.93,415.14,12444772.05,0,0,0,0,0,0,89,2667978.785
